id,name,station_no,lng,lat,seq_no,gps_seq_no,direction,type,distance,route_id,route_no,route_name,city_code
19088,龙翔桥,44758,120.16536,30.25411,1,1,4,1,0,65,720040,4路,330100
19089,一公园,33230,120.16157,30.24957,2,2,4,2,822.35,65,720040,4路,330100
19090,钱王祠,44752,120.15908,30.24248,3,3,4,2,867,65,720040,4路,330100
19091,清波门,44753,120.15829,30.23854,4,4,4,2,472.13,65,720040,4路,330100
19092,南山路万松岭路口,44759,120.15638,30.23456,5,5,4,2,505.71,65,720040,4路,330100
19093,长桥,44245,120.15367,30.22979,6,6,4,2,718.2,65,720040,4路,330100
19094,净寺,44246,120.14979,30.22978,7,7,4,2,379.98,65,720040,4路,330100
19095,苏堤,41925,120.14108,30.22708,8,8,4,2,913.43,65,720040,4路,330100
19096,赤山埠,44054,120.13828,30.22377,9,9,4,2,501.77,65,720040,4路,330100
19097,动物园,43577,120.13583,30.21488,10,10,4,2,1059.72,65,720040,4路,330100
19098,虎跑,44055,120.13516,30.21016,11,11,4,2,535.29,65,720040,4路,330100
19099,钱江大桥,44247,120.13786,30.20247,12,12,4,2,951.24,65,720040,4路,330100
19100,六和塔,44248,120.13434,30.19712,13,13,4,2,726.24,65,720040,4路,330100
19101,浙大之江校区,41275,120.12749,30.19236,14,14,4,2,854.09,65,720040,4路,330100
19102,九溪,30117,120.11854,30.18648,15,15,4,2,1090.1,65,720040,4路,330100
19103,珊瑚沙水库,41141,120.11187,30.17973,16,16,4,2,993.07,65,720040,4路,330100
19104,梵村,41276,120.10386,30.17541,17,17,4,2,918.36,65,720040,4路,330100
19105,宋城,41277,120.09689,30.17104,18,18,4,2,839.18,65,720040,4路,330100
19106,大诸桥换乘站,41278,120.09151,30.16774,19,19,4,2,659.52,65,720040,4路,330100
19107,午山社区,44117,120.08661,30.1652,20,20,4,2,565.55,65,720040,4路,330100
19108,转塘东,41375,120.08429,30.16397,21,21,4,2,261.58,65,720040,4路,330100
19109,转塘街道,44760,120.07856,30.1589,22,22,4,2,918.09,65,720040,4路,330100
19110,博美路美院北街口,44761,120.07499,30.15946,23,23,4,2,475.28,65,720040,4路,330100
19111,方家畈,44762,120.07298,30.16145,24,24,4,3,391.82,65,720040,4路,330100
39973,方家畈,44762,120.07298,30.16145,1,25,5,1,0,64,720040,4路,330100
39974,横桥,45787,120.07358,30.15762,2,26,5,2,741.4,64,720040,4路,330100
39975,转塘街道,44760,120.07856,30.1589,3,27,5,2,499.94,64,720040,4路,330100
39976,转塘东,40681,120.08348,30.16328,4,28,5,2,839,64,720040,4路,330100
39977,午山社区,41545,120.08696,30.16527,5,29,5,2,412.49,64,720040,4路,330100
39978,大诸桥换乘站,41546,120.09276,30.16808,6,30,5,2,641.93,64,720040,4路,330100
39979,宋城,41547,120.09703,30.17107,7,31,5,2,550.51,64,720040,4路,330100
39980,梵村,43016,120.10263,30.17463,8,32,5,2,699.25,64,720040,4路,330100
39981,珊瑚沙水库,43017,120.1114,30.1793,9,33,5,2,1000.22,64,720040,4路,330100
39982,九溪,44255,120.1204,30.18734,10,34,5,2,1257.23,64,720040,4路,330100
39983,浙大之江校区,44256,120.12797,30.19263,11,35,5,2,966.9,64,720040,4路,330100
39984,六和塔,47876,120.13436,30.19713,12,36,5,2,863.89,64,720040,4路,330100
39985,钱江大桥,46739,120.13816,30.20291,13,37,5,2,820.17,64,720040,4路,330100
39986,虎跑,43162,120.13514,30.20898,14,38,5,2,768.15,64,720040,4路,330100
39987,动物园,43577,120.13583,30.21488,15,39,5,2,663.45,64,720040,4路,330100
39988,赤山埠,43164,120.1383,30.22365,16,40,5,2,1111.77,64,720040,4路,330100
39989,苏堤,41925,120.14108,30.22708,17,41,5,2,505.32,64,720040,4路,330100
39990,净寺,41926,120.14828,30.22955,18,42,5,2,755.73,64,720040,4路,330100
39991,长桥,41927,120.1526,30.22965,19,43,5,2,423.46,64,720040,4路,330100
39992,南山路万松岭路口,44759,120.15638,30.23456,20,44,5,2,980.44,64,720040,4路,330100
39993,清波门,41929,120.15807,30.24038,21,45,5,2,713.85,64,720040,4路,330100
39994,钱王祠,41930,120.15899,30.24233,22,46,5,2,255.01,64,720040,4路,330100
39995,延安路饮马井巷,39091,120.16444,30.24708,23,47,5,2,915.64,64,720040,4路,330100
39996,龙翔桥,44758,120.16536,30.25411,24,48,5,3,1176.8,64,720040,4路,330100
