car_id,COUNT(car_id),min(timedelta)
50079546,446,0 days 00:00:01.000000000
50079580,5446,0 days 00:00:01.000000000
50079583,472,0 days 00:00:01.000000000
50079550,535,0 days 00:00:01.000000000
50079556,60,0 days 00:00:01.000000000
50079585,269,0 days 00:00:01.000000000
50079562,28,0 days 00:00:01.000000000
50079581,144,0 days 00:00:01.000000000
50079567,17,0 days 00:00:01.000000000
50079579,15,0 days 00:00:01.000000000
50079570,18,0 days 00:00:01.000000000
50079558,21,0 days 00:00:01.000000000
50079551,14,0 days 00:00:01.000000000
50079582,20,0 days 00:00:01.000000000
50079574,4,0 days 00:00:02.000000000
50079578,3,0 days 00:00:01.000000000
50079576,1,0 days 00:00:06.000000000
50079553,3,0 days 00:00:01.000000000
50079559,11,0 days 00:00:01.000000000
50079561,11,0 days 00:00:01.000000000
50079555,3,0 days 00:00:01.000000000
50079573,8,0 days 00:00:01.000000000
50079564,1,0 days 00:00:06.000000000
50079547,3,0 days 00:00:01.000000000
50079560,5,0 days 00:00:01.000000000
50079552,1,0 days 00:00:06.000000000
50079572,1,0 days 00:00:01.000000000
50079537,2,0 days 00:00:02.000000000
50079565,4,0 days 00:00:02.000000000
